ts,fps,mbps,avg_latency_ms,jitter_ms,drop_total,cpu
1759139132,0.255,0.053,158.45,0.00,0,0.0
1759139133,10.962,2.499,149.69,4.93,0,0.5
1759139134,9.995,2.270,148.93,3.82,0,0.0
1759139135,9.953,2.298,148.40,3.27,0,0.0
1759139136,9.970,2.311,148.15,2.89,0,0.2
1759139137,9.949,2.303,148.01,2.61,0,0.0
1759139138,9.948,2.291,147.91,2.41,0,0.0
1759139139,9.982,2.304,147.83,2.24,0,0.2
1759139140,9.965,2.292,147.77,2.11,0,0.2
1759139141,9.969,2.294,147.72,2.00,0,0.0
1759139142,9.966,2.294,147.68,1.90,0,0.2
1759139143,9.963,2.303,147.40,0.47,0,0.0
1759139144,9.958,2.307,147.40,0.47,0,0.0
1759139145,9.958,2.310,147.34,0.22,0,0.0
1759139146,9.962,2.313,147.37,0.23,0,0.0
1759139147,9.984,2.264,147.37,0.24,0,0.5
1759139148,9.948,2.218,147.37,0.24,0,0.0
1759139149,9.933,2.212,147.38,0.25,0,0.0
1759139150,9.994,2.211,147.39,0.25,0,0.0
1759139151,9.967,2.205,147.39,0.25,0,0.0
1759139152,9.951,2.204,147.38,0.25,0,0.2
1759139153,9.954,2.210,147.41,0.26,0,0.0
1759139154,9.957,2.208,147.42,0.25,0,0.0
1759139155,9.951,2.204,147.43,0.23,0,0.0
1759139156,9.965,2.214,147.44,0.23,0,0.0
1759139157,9.975,2.218,147.42,0.21,0,0.2
1759139158,9.960,2.211,147.42,0.20,0,0.0
1759139159,9.971,2.212,147.43,0.21,0,0.0
1759139160,9.957,2.210,147.44,0.19,0,0.0
1759139161,9.954,2.208,147.44,0.18,0,0.0
1759139162,9.977,2.211,147.46,0.18,0,0.5
1759139163,9.955,2.203,147.49,0.18,0,0.0
1759139164,9.967,2.204,147.51,0.18,0,0.0
1759139165,9.969,2.204,147.50,0.18,0,0.0
1759139166,9.966,2.205,147.51,0.18,0,0.2
1759139167,9.947,2.205,147.53,0.18,0,0.0
1759145730,0.266,0.071,206.71,0.00,0,0.0
1759145731,10.936,2.449,191.21,9.00,0,0.2
1759145732,9.980,2.298,189.69,6.99,0,0.2
1759145733,9.964,2.288,188.88,5.99,0,0.0
1759145734,9.977,2.293,188.16,5.40,0,0.0
1759145735,9.959,2.287,187.73,4.95,0,0.0
1759145736,9.933,2.282,187.51,4.59,0,0.2
1759145737,9.986,2.291,187.60,4.25,0,0.0
1759145738,9.949,2.284,187.60,3.99,0,0.0
1759145739,9.963,2.287,187.53,3.78,0,0.0
1759145740,9.948,2.285,187.42,3.61,0,0.2
1759145741,9.975,2.289,186.85,0.99,0,0.2
1759145742,9.955,2.296,186.71,0.98,0,0.0
1759145743,9.989,2.307,186.54,0.94,0,0.0
1759145744,9.940,2.280,186.46,0.91,0,0.0
1759145745,9.934,2.280,186.48,0.90,0,0.2
1759145746,10.013,2.298,186.50,0.90,0,0.0
1759145747,9.921,2.283,186.42,0.83,0,0.0
1759145748,9.950,2.289,186.25,0.66,0,0.0
1759145749,9.967,2.291,186.11,0.49,0,0.2
1759145750,9.982,2.291,186.00,0.41,0,0.0
1759145751,9.934,2.281,185.97,0.38,0,0.2
1759145752,10.001,2.297,185.98,0.39,0,0.0
1759145753,9.987,2.303,185.98,0.38,0,0.0
1759145754,9.925,2.288,186.00,0.37,0,0.0
1759145755,9.968,2.287,186.02,0.39,0,0.2
1759145756,9.979,2.286,186.04,0.48,0,0.0
1759145757,9.922,2.280,186.03,0.45,0,0.0
1759145758,9.970,2.348,186.04,0.44,0,0.0
1759145759,9.950,2.435,186.10,0.48,0,0.0
1759145760,9.908,2.405,186.21,0.56,0,0.2
1759145761,9.972,2.357,186.34,0.66,0,0.0
1759145762,9.984,2.393,186.51,0.86,0,0.3
1759145763,9.971,2.358,186.54,0.90,0,0.0
1759145764,9.960,2.376,186.56,0.89,0,0.2
1759145765,9.964,2.380,186.57,0.89,0,0.0
1759145777,10.740,2.501,186.91,2.40,0,0.1
1759145778,9.982,2.320,186.59,1.77,0,0.0
1759145779,9.940,2.314,186.48,1.47,0,0.0
1759145780,9.971,2.319,186.42,1.28,0,0.0
1759145781,9.984,2.318,186.40,1.16,0,0.0
1759145782,9.946,2.305,186.34,1.07,0,0.0
1759145783,9.938,2.299,186.33,0.99,0,0.2
1759145784,9.966,2.285,186.32,0.93,0,0.2
1759145785,9.943,2.296,186.31,0.89,0,0.0
1759145786,9.977,2.326,186.30,0.85,0,0.2
1759145787,9.986,2.320,186.21,0.22,0,0.0
1759145788,9.943,2.306,186.21,0.22,0,0.0
1759145789,9.910,2.301,186.20,0.23,0,0.2
1759145790,9.958,2.309,186.21,0.24,0,0.2
1759145791,10.013,2.361,186.21,0.25,0,0.0
1759145792,9.928,2.344,186.22,0.25,0,0.0
1759145793,9.950,2.355,186.24,0.24,0,0.2
1759145794,9.972,2.362,186.24,0.24,0,0.0
1759145795,9.996,2.369,186.27,0.26,0,0.0
1759145796,9.925,2.345,186.31,0.30,0,0.2
1759145797,9.978,2.360,186.33,0.30,0,0.0
1759145798,9.970,2.356,186.34,0.30,0,0.0
1759145799,9.982,2.356,186.36,0.29,0,0.2
1759145800,9.936,2.320,186.38,0.28,0,0.0
1759145897,0.255,0.047,202.26,0.00,0,0.0
1759145898,10.981,2.445,192.64,7.88,0,0.0
1759145899,9.939,2.291,191.39,6.07,0,0.2
1759145900,9.951,2.273,190.61,5.17,0,0.2
1759145901,9.979,2.277,190.25,4.57,0,0.0
1759145902,9.982,2.280,189.95,4.16,0,0.0
1759145903,9.961,2.279,189.58,3.90,0,0.5
1759145904,9.933,2.262,189.36,3.67,0,0.0
1759145905,9.991,2.249,189.13,3.50,0,0.0
